Sl. No.,State/UT,2021-22,2022-23,2023-24,2024-25
1,Andaman and Nicobar Islands,0,0,0,0
2,Arunachal Pradesh,0,0.82,2.12,0
3,Assam,0,0,0,0
4,Bihar,0,0,0,0
5,Chhattisgarh,0,0,0,0
6,Goa,0,0,0,0
7,Gujarat,0,7.83,28.72,5.15
8,Haryana,161.12,137.95,429.78,103.34
9,Himachal Pradesh,0,5.85,0,3.13
10,Jammu and Kashmir,0,15.69,0,0
11,Jharkhand,0,20.04,2.36,49.62
12,Karnataka,0,0,2.38,81.25
13,Kerala,0,0,28.53,0.07
14,Ladakh,0,0,0,0
15,Madhya Pradesh,0,0,0.8,0
16,Maharashtra,9.6,247.6,330.21,741.81
17,Manipur,0,0.23,0.17,0
18,Meghalaya,0,0,0.31,0
19,Mizoram,0,0,0,0
20,Nagaland,0,0.2,0.18,0.16
21,Odisha,0,0,7.69,0
22,Puducherry,0,0,0,0
23,Punjab,23.7,31.11,5.41,13.09
24,Rajasthan,153.49,247.63,49.41,280.01
25,Tamil Nadu,20.3,0,2.59,0.12
26,Telangana,0,0,0,0
27,Tripura,7.36,0.12,17.81,0
28,Uttar Pradesh,13.73,82.3,92.13,35.46
29,Uttarakhand,0,4,0,12.55
30,West Bengal,0,0,0,0
31,Other,16.75,0,0,0
Total,Total,406.04,801.36,1000.58,1325.77
